obsid|cl1|cl2|T
1207205|1.0|4.0|
1208029|1.0|4.0|
1208214|2.0|4.0|
1210011|1.0|4.0|
1212036|1.0|4.0|
1212144|2.0|4.0|
1212171|1.0|4.0|
1213213|1.0|4.0|
1215211|1.0|4.0|
1216117|1.0|4.0|
1216123|1.0|4.0|
1216217|1.0|4.0|
1216244|1.0|4.0|
1301075|1.0|4.0|
1301147|1.0|4.0|
1302104|1.0|4.0|
1302111|1.0|4.0|
1302227|0.0|4.0|
1308203|1.0|4.0|
1308225|1.0|4.0|
1309048|2.0|4.0|
1309223|1.0|4.0|
1310008|1.0|4.0|
1312128|0.0|4.0|
1313068|1.0|4.0|
1313195|1.0|4.0|
1315070|2.0|4.0|
1315234|2.0|4.0|
1401163|1.0|4.0|
1403012|1.0|4.0|
1403221|1.0|4.0|
1405072|1.0|4.0|
1405185|1.0|4.0|
1406046|2.0|4.0|
1406097|1.0|4.0|
1408010|1.0|4.0|
1408025|2.0|4.0|
1409129|1.0|4.0|
1409164|1.0|4.0|
1409198|1.0|4.0|
1410026|1.0|4.0|
1410165|1.0|4.0|
1410189|1.0|4.0|
1412074|2.0|4.0|
1414038|2.0|4.0|
1414080|1.0|4.0|
1415241|1.0|0.0|8017.6626
1501051|1.0|4.0|
1502056|2.0|4.0|
1502131|0.0|4.0|
1503019|2.0|4.0|
1503058|2.0|4.0|
1503073|1.0|4.0|
1503124|1.0|4.0|
1506118|1.0|4.0|
1506237|1.0|4.0|
1507009|1.0|4.0|
1508177|0.0|4.0|
1508187|1.0|4.0|
1509122|1.0|4.0|
1510050|1.0|4.0|
1510214|1.0|4.0|
1510219|1.0|4.0|
1511052|2.0|4.0|
1511170|1.0|4.0|
1511189|1.0|4.0|
1511219|1.0|4.0|
1511230|2.0|4.0|
1513013|2.0|4.0|
1513212|1.0|4.0|
1514012|1.0|4.0|
1516206|1.0|4.0|
1516234|1.0|4.0|
1601161|1.0|4.0|
1601185|1.0|4.0|
1603058|2.0|4.0|
1603176|0.0|4.0|
1605152|1.0|4.0|
1606165|1.0|4.0|
1606168|2.0|4.0|
1606201|1.0|4.0|
1606211|1.0|4.0|
1606235|1.0|4.0|
1608041|1.0|4.0|
1608173|1.0|4.0|
1609179|2.0|4.0|
1610031|2.0|4.0|
1611225|1.0|4.0|
1612053|2.0|4.0|
1612058|1.0|4.0|
1612128|1.0|4.0|
1612170|2.0|4.0|
1613026|2.0|4.0|
1613031|1.0|4.0|
1613036|1.0|4.0|
1613224|1.0|4.0|
1614057|2.0|4.0|
1614062|1.0|4.0|
1614158|1.0|4.0|
1616063|1.0|4.0|
1616222|1.0|4.0|
1701176|2.0|4.0|
1702078|2.0|4.0|
1703069|2.0|4.0|
1705041|2.0|4.0|
1705164|1.0|4.0|
1706134|2.0|4.0|
1707014|2.0|4.0|
1707030|0.0|4.0|
1707052|0.0|4.0|
1707141|1.0|4.0|
1708077|2.0|4.0|
1708087|1.0|4.0|
1709234|2.0|4.0|
1711002|2.0|4.0|
1711084|1.0|4.0|
1712071|0.0|4.0|
1712092|2.0|4.0|
1713006|1.0|4.0|
1713008|2.0|4.0|
1715145|2.0|4.0|
1715158|0.0|4.0|
1716091|2.0|4.0|
1716179|2.0|4.0|
1801181|1.0|4.0|
1801186|1.0|4.0|
1807080|2.0|4.0|
1807221|1.0|4.0|
1814139|1.0|4.0|
1816071|1.0|4.0|
1902172|0.0|4.0|
1902182|0.0|4.0|
1902199|1.0|4.0|
1907090|1.0|4.0|
1907180|1.0|4.0|
1914100|0.0|4.0|
1916086|1.0|4.0|
1916192|1.0|4.0|
2001045|2.0|4.0|
2001153|1.0|4.0|
2016103|0.0|4.0|
2016186|2.0|4.0|
